from_vertex_id;to_vertex_id;weights;geom
20407;20405;0.008104;LINESTRING(37.579342 55.762471,37.579326 55.762510,37.579308 55.762541)
14681;9849;0.022105;LINESTRING(37.595466 55.738253,37.595386 55.738106,37.595347 55.738067)
19300;19298;0.012548;LINESTRING(37.597818 55.775141,37.597906 55.775096,37.597966 55.775065)
7013;7014;0.022894;LINESTRING(37.663715 55.738228,37.663687 55.738213,37.663416 55.738110)
17644;17645;0.012281;LINESTRING(37.625843 55.773623,37.625771 55.773628,37.625648 55.773637)
941;942;0.027135;LINESTRING(37.626168 55.767858,37.625956 55.767857,37.625734 55.767861)
5658;5683;0.015276;LINESTRING(37.654857 55.772001,37.654721 55.771993,37.654680 55.771937)
5658;14148;0.025501;LINESTRING(37.654857 55.772001,37.654721 55.771993,37.654657 55.772141)
19382;19384;0.017809;LINESTRING(37.643976 55.764258,37.644073 55.764302,37.644201 55.764356)
19249;19251;0.011861;LINESTRING(37.604895 55.771389,37.604903 55.771369,37.604939 55.771285)
6043;6044;0.011587;LINESTRING(37.658660 55.731169,37.658667 55.731222,37.658666 55.731273)
20584;20586;0.024949;LINESTRING(37.690387 55.739533,37.690138 55.739609,37.690037 55.739640)
17671;7889;0.049471;LINESTRING(37.618277 55.730085,37.617851 55.730093,37.617488 55.730088)
17671;23980;0.035996;LINESTRING(37.618277 55.730085,37.617851 55.730093,37.617703 55.730100)
10875;10876;0.068243;LINESTRING(37.671285 55.741800,37.671396 55.741333,37.671431 55.741192)
10875;10487;0.127235;LINESTRING(37.671285 55.741800,37.671396 55.741333,37.672580 55.741421)
20414;20416;0.013159;LINESTRING(37.579364 55.762113,37.579354 55.762052,37.579339 55.761995)
21728;21726;0.012657;LINESTRING(37.663853 55.772170,37.663779 55.772176,37.663654 55.772191)
14376;14378;0.009791;LINESTRING(37.623735 55.754179,37.623691 55.754155,37.623617 55.754120)
4252;4253;0.016295;LINESTRING(37.697426 55.749932,37.697465 55.749863,37.697500 55.749792)
21307;21305;0.004940;LINESTRING(37.637174 55.766972,37.637188 55.767000,37.637196 55.767015)
22139;22140;0.036253;LINESTRING(37.658330 55.732019,37.658292 55.732163,37.658267 55.732343)
21445;21447;0.022371;LINESTRING(37.617397 55.760315,37.617660 55.760393,37.617713 55.760409)
13192;13193;0.026247;LINESTRING(37.681365 55.773999,37.681189 55.773951,37.680989 55.773894)
6410;6411;0.014797;LINESTRING(37.621525 55.733895,37.621532 55.733813,37.621536 55.733762)
11399;11400;0.054696;LINESTRING(37.673906 55.730644,37.673766 55.730717,37.673267 55.730979)
1931;1932;0.005666;LINESTRING(37.647680 55.763017,37.647649 55.763037,37.647620 55.763055)
7040;7041;0.010990;LINESTRING(37.670907 55.731704,37.670838 55.731690,37.670737 55.731687)
17350;19221;0.041442;LINESTRING(37.648755 55.743735,37.648812 55.743749,37.649071 55.743444)
17350;19222;0.022539;LINESTRING(37.648755 55.743735,37.648812 55.743749,37.648683 55.743900)
23736;23737;0.011436;LINESTRING(37.644701 55.759994,37.644750 55.759928,37.644769 55.759899)
10300;10301;0.011874;LINESTRING(37.590070 55.765543,37.590063 55.765538,37.589952 55.765459)
25360;25358;0.012044;LINESTRING(37.592351 55.733846,37.592315 55.733805,37.592277 55.733746)
16995;16977;0.032676;LINESTRING(37.640793 55.748074,37.640731 55.748010,37.640481 55.747839)
1648;1650;0.040688;LINESTRING(37.678855 55.769829,37.678601 55.769855,37.678216 55.769898)
21193;21194;0.018892;LINESTRING(37.686068 55.763515,37.686069 55.763596,37.686090 55.763684)
6679;6680;0.012352;LINESTRING(37.594212 55.756902,37.594270 55.756951,37.594320 55.756995)
11016;11017;0.020835;LINESTRING(37.597193 55.759550,37.597240 55.759516,37.597399 55.759402)
7495;7496;0.012324;LINESTRING(37.616062 55.769007,37.616146 55.769003,37.616258 55.768995)
14792;14793;0.011263;LINESTRING(37.591526 55.733828,37.591445 55.733860,37.591378 55.733886)
20743;20744;0.108802;LINESTRING(37.695639 55.736835,37.695267 55.736871,37.693927 55.737002)
18309;17691;0.028540;LINESTRING(37.650432 55.738967,37.650455 55.738982,37.650715 55.739168)
12590;12591;0.039343;LINESTRING(37.564715 55.754601,37.564512 55.754590,37.564091 55.754558)
710;711;0.020715;LINESTRING(37.623138 55.769091,37.623287 55.769048,37.623428 55.769002)
710;731;0.012611;LINESTRING(37.623138 55.769091,37.623287 55.769048,37.623304 55.769064)
20297;20295;0.027991;LINESTRING(37.675575 55.748605,37.675629 55.748661,37.675754 55.748836)
21166;21168;0.015179;LINESTRING(37.604583 55.756706,37.604506 55.756717,37.604348 55.756739)
10134;10135;0.007200;LINESTRING(37.601933 55.744489,37.602000 55.744458,37.602020 55.744447)
23922;3136;0.011577;LINESTRING(37.590679 55.773198,37.590626 55.773158,37.590557 55.773120)
9409;9410;0.052155;LINESTRING(37.568838 55.745779,37.568949 55.745986,37.569079 55.746228)
10431;10432;0.024516;LINESTRING(37.597109 55.770741,37.597048 55.770721,37.596789 55.770613)
19048;19050;0.013600;LINESTRING(37.602043 55.744246,37.602021 55.744230,37.601922 55.744144)
19248;19246;0.021836;LINESTRING(37.604840 55.771520,37.604794 55.771632,37.604761 55.771711)
